ID	accession	accession_name	species	bio_status	row_type	LON	LAT	AEZ_type	AEZ31
B_150	215474-B	64144-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.333333	7.8	H	H4
B_151	215696-A	64144-C	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.333333	7.8	H	H4
B_152	215698-B	64165-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.566667	6.316667	SH	SH4
B_153	216008-A	64165-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.566667	6.316667	SH	SH4
B_154	216799-A	64172-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_155	216954-A	64172-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.533333	6.316667	SH	SH4
B_156	218969-A	64176-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.5	6.3	SH	SH3
B_157	219026-A	64180-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.466667	6.283333	SH	SH3
B_158	219026-B	64233-C	Hordeum vulgare L. vulgare	landrace	Irregular	40.233333	7.066667	H	H3
B_159	219055-A	64257-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.65	6.833333	SH	SH3
B_16	235284	17146	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.562222	12.841389	SM	SM4
B_160	219178-A	64333-B	Hordeum vulgare L. vulgare	landrace	Irregular	36.7	9.05	SH	SH3
B_161	219178-B	64336-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.666667	8.766667	SH	SH3
B_162	219185-A	202526-A	Hordeum vulgare L. vulgare	landrace	Irregular	36.916667	10.933333	SH	SH3
B_163	219185-B	202631-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.916667	7.033333	SH	SH3
B_164	219326-B	202676-A	Hordeum vulgare L. vulgare	landrace	Irregular	37.616667	11.816667	M	M3
B_165	219328-B	202717-A	Hordeum vulgare L. vulgare	landrace	Irregular	41.483333	9.283333	SH	SH3
B_166	219576-A	202850-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	36.633333	6.183333	SH	SH3
B_167	219576-D	204802-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.833333	10.833333	SM	SM4
B_168	219578-A	208816-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.55	7.05	SH	SH4
B_169	219578-B	208836-D	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.75	7.8	SH	SH3
B_17	236819	17148	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.545833	12.886389	SM	SM4
B_170	219580-A	208836-E	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.75	7.8	SH	SH3
B_171	219581-A	208841-A	Hordeum vulgare L. vulgare	landrace	Irregular	NA	NA	NA	NA
B_172	219584-A	208841-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.5	6.333333	SH	SH3
B_173	219611-A	208842-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.5	6.333333	SH	SH3
B_174	219612-A	208845-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.583333	6.25	SH	SH4
B_175	219612-B	208903-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38	9.05	M	M4
B_176	219616-A	208905-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.3	9.016667	M	M3
B_177	220743-A	208905-B	Hordeum vulgare L. vulgare	landrace	Irregular	37.3	9.016667	M	M3
B_178	220790-D	212504-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.75	10.15	SM	SM3
B_179	222969-A	212840-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.883333	6.916667	SH	SH6
B_18	236821	17249	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.872222	11.117778	M	M3
B_180	222969-C	212840-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.883333	6.916667	SH	SH6
B_181	223168-A	212947-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.85	7.583333	SH	SH3
B_182	223168-C	212947-D	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.85	7.583333	SH	SH3
B_183	223174-A	212959-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.216667	5.916667	SH	SH2
B_184	223182-A	212959-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.216667	5.916667	SH	SH2
B_185	223182-B	213527-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.266667	8.8	SM	SM3
B_186	223926-A	213594-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.383333	7.4	H	H4
B_187	223926-B	215217-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.45	10.866667	M	M4
B_188	225980-A	215228-A	Hordeum vulgare L. vulgare	landrace	Irregular	39.783333	11.066667	M	M3
B_189	225980-B	215228-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.783333	11.066667	M	M3
B_19	237015	17254	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.9525	10.928889	SH	SH3
B_190	229993-A	215244-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.7	9.766667	SM	SM4
B_191	230500-A	215432-A	Hordeum vulgare L. vulgare	landrace	Irregular	38.383333	8.116667	SH	SH3
B_192	230612-B	215456-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.783333	7.466667	SH	SH3
B_193	230616-A	215474-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.866667	7.5	SH	SH3
B_194	230619-B	215696-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.783333	11.333333	M	M3
B_195	230629-A	215698-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.816667	11.333333	M	M3
B_196	230631-A	216008-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.683333	10.116667	M	M3
B_197	230631-C	216799-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	41.683333	9.35	SH	SH3
B_198	230654-B	216954-A	Hordeum vulgare L. vulgare	landrace	Irregular	37.216667	9.083333	SH	SH3
B_199	230814-A	218969-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	NA	NA	NA	NA
B_2	220347	1826	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.633333	9.633333	M	M3
B_20	237021	17257	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.035833	10.840833	M	M3
B_200	230814-B	219026-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.85	8.55	M	M2
B_201	230815-A	219026-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	NA	NA	NA	NA
B_202	221523-A	219055-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.666667	8.4	SM	SM3
B_203	221523-B	219178-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	41.333333	9.216667	SH	SH3
B_204	232365-A	219178-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	41.333333	9.216667	SH	SH3
B_205	233040-A	219185-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_206	233040-B	219185-B	Hordeum vulgare L. vulgare	landrace	Irregular	42.35	9.466667	M	M3
B_207	234302-A	219326-B	Hordeum vulgare L. vulgare	landrace	Irregular	NA	NA	NA	NA
B_208	234307-A	219328-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.733333	6.916667	SH	SH3
B_209	234308-A	219576-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.616667	9.633333	SM	SM4
B_21	237324	17651	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.6875	9.040278	SH	SH3
B_210	234312-B	219576-D	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.616667	9.633333	SM	SM4
B_212	235056-A	219578-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.416667	9.616667	SM	SM4
