ID	type	row.type	AEZ_type	AEZ31	region	zone	LON	LAT	Cluster	Axis1	Axis2	Axis3	species	accession	accession_name	Founder	Family
B_128	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.258611	10.915833	6	-0.569130738	0.850532763	-0.369165427	Hordeum vulgare L. vulgare	208841-A	24639-A	NA	NA
B_129	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.258611	10.915833	6	-0.569040482	0.85911338	-0.363040302	Hordeum vulgare L. vulgare	208841-B	24639-B	NA	NA
B_13	landrace	Two-rowed	SH	SH4	SNNP	GURAGE	38.466389	8.303889	6	-0.364290663	0.515608814	-0.288919924	Hordeum vulgare L. vulgare	235252	16866	NA	NA
B_130	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.26	10.913056	6	-0.639366108	0.311882927	-0.900767642	Hordeum vulgare L. vulgare	208842-A	24641-A	NA	NA
B_131	landrace	Two-rowed	M	M3	SNNP	GURAGE	37.969167	8.146944	7	-0.705982462	0.926299667	0.038989358	Hordeum vulgare L. vulgare	208845-A	24955-B	NA	NA
B_132	landrace	Two-rowed	M	M3	SNNP	GURAGE	37.971667	8.146667	6	-0.349150276	0.484050053	-0.342287766	Hordeum vulgare L. vulgare	208903-A	24956-A	NA	NA
B_133	landrace	Six-rowed	M	M3	SNNP	GURAGE	38.110556	8.209444	6	-0.55779424	0.554578474	-0.15840003	Hordeum vulgare L. vulgare	208905-A	24965-A	NA	NA
B_134	landrace	Six-rowed	M	M3	SNNP	GURAGE	38.110556	8.209444	7	0.703381507	0.925117462	-0.178883282	Hordeum vulgare L. vulgare	208905-B	24965-C	NA	NA
B_135	landrace	Six-rowed	M	M3	SNNP	GURAGE	37.998889	8.576667	7	-0.524577978	1.351851392	-0.146721289	Hordeum vulgare L. vulgare	212504-A	24967-C	NA	NA
B_136	landrace	Two-rowed	SH	SH3	SNNP	GURAGE	38.471389	8.073333	1	-0.309472119	-1.009777712	0.180198379	Hordeum vulgare L. vulgare	212840-A	24974-A	NA	NA
B_137	landrace	Irregular	SH	SH4	SNNP	GURAGE	38.1175	8.120556	9	-0.304974858	-0.056127558	0.724568449	Hordeum vulgare L. vulgare	212840-B	24985-B	NA	NA
B_138	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.704722	7.690833	3	-0.623926541	1.284371828	-0.074978916	Hordeum vulgare L. vulgare	212947-A	24987-A	NA	NA
B_139	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.704722	7.690833	7	0.618603751	0.879395396	-0.699714754	Hordeum vulgare L. vulgare	212947-D	24987-B	NA	NA
B_14	landrace	Two-rowed	SH	SH3	SNNP	GURAGE	38.614722	8.446944	5	-0.695476619	-0.365753812	1.822957302	Hordeum vulgare L. vulgare	235262	16867	NA	NA
B_140	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.690833	7.683889	3	-0.59603203	1.290734953	-0.074193644	Hordeum vulgare L. vulgare	212959-A	24988-A	NA	NA
B_141	landrace	Six-rowed	SM	SM3	Oromia	SEMEN SHEWA	39.583333	9.8	6	-0.677380603	0.426151009	-0.341065044	Hordeum vulgare L. vulgare	212959-B	64003-A	NA	NA
B_142	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.833333	6.916667	9	-0.27084028	-0.393897123	1.160647947	Hordeum vulgare L. vulgare	213527-A	64026-A	NA	NA
B_143	landrace	Irregular	M	M3	Amhara	DEBUB GONDAR	37.983333	11.85	7	-0.303201654	0.689980063	-0.171137733	Hordeum vulgare L. vulgare	213594-A	64065-C	NA	NA
B_144	landrace	Six-rowed	M	M5	Amhara	DEBUB GONDAR	38.25	11.783333	6	-0.469842778	0.595532728	-0.635124619	Hordeum vulgare L. vulgare	215217-A	64068-A	NA	NA
B_145	landrace	Six-rowed	M	M5	Amhara	DEBUB GONDAR	38.25	11.783333	4	1.508552569	0.344702017	-0.178978442	Hordeum vulgare L. vulgare	215228-A	64068-B	NA	NA
B_146	landrace	Irregular	M	M4	Oromia	ARSSI	38.983333	7.55	7	-0.547720522	1.184503127	-0.158060434	Hordeum vulgare L. vulgare	215228-B	64111-B	NA	NA
B_147	landrace	Irregular	M	M4	Oromia	ARSSI	38.983333	7.5	7	-0.565490448	0.951293443	-0.084802154	Hordeum vulgare L. vulgare	215244-A	64116-A	NA	NA
B_148	landrace	Six-rowed	H	H3	Oromia	ARSSI	39.216667	7.733333	6	-0.63927965	0.382037401	-0.791519577	Hordeum vulgare L. vulgare	215432-A	64134-A	NA	NA
B_149	landrace	Six-rowed	H	H3	Oromia	ARSSI	39.216667	7.733333	6	-0.666129526	0.522693077	-0.507637766	Hordeum vulgare L. vulgare	215456-A	64134-C	NA	NA
B_15	landrace	Two-rowed	SM	SM3	Tigray	DEBUBAWI	39.515278	13.273889	8	0.983180463	-2.97757764	-1.47384822	Hordeum vulgare L. vulgare	235267	17145	NA	NA
B_150	landrace	Six-rowed	H	H4	Oromia	ARSSI	39.333333	7.8	7	-0.515488262	1.153420775	-0.220916751	Hordeum vulgare L. vulgare	215474-B	64144-B	NA	NA
B_151	landrace	Six-rowed	H	H4	Oromia	ARSSI	39.333333	7.8	6	-0.569945823	0.859512864	-0.546013359	Hordeum vulgare L. vulgare	215696-A	64144-C	NA	NA
B_152	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.566667	6.316667	6	-0.422399376	0.408555887	-0.046032401	Hordeum vulgare L. vulgare	215698-B	64165-A	NA	NA
B_153	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.566667	6.316667	6	-0.433734618	0.423779024	-0.061833921	Hordeum vulgare L. vulgare	216008-A	64165-B	NA	NA
B_154	landrace	Six-rowed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hordeum vulgare L. vulgare	216799-A	64172-A	NA	NA
B_155	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.533333	6.316667	6	-0.345357286	0.45707898	-0.069378527	Hordeum vulgare L. vulgare	216954-A	64172-B	NA	NA
B_156	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	37.5	6.3	9	-0.292336115	-0.090862564	0.726927963	Hordeum vulgare L. vulgare	218969-A	64176-B	NA	NA
B_157	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	37.466667	6.283333	9	-0.308799367	-0.219655373	0.90836672	Hordeum vulgare L. vulgare	219026-A	64180-A	NA	NA
B_158	landrace	Irregular	H	H3	Oromia	BALE	40.233333	7.066667	1	-0.425303603	0.014583866	0.262853221	Hordeum vulgare L. vulgare	219026-B	64233-C	NA	NA
B_159	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.65	6.833333	9	-0.414443547	-0.399300152	1.349664763	Hordeum vulgare L. vulgare	219055-A	64257-B	NA	NA
B_16	landrace	Six-rowed	SM	SM4	Tigray	DEBUBAWI	39.562222	12.841389	10	-0.568687411	0.144575692	-1.232781582	Hordeum vulgare L. vulgare	235284	17146	NA	NA
B_160	landrace	Irregular	SH	SH3	Oromia	MIRAB SHEWA	36.7	9.05	5	-0.501285232	-0.953917668	2.27899918	Hordeum vulgare L. vulgare	219178-A	64333-B	NA	NA
B_161	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.666667	8.766667	5	-0.600721668	-0.93798271	2.740965072	Hordeum vulgare L. vulgare	219178-B	64336-A	NA	NA
B_162	landrace	Irregular	SH	SH3	Amhara	AGEW AWI	36.916667	10.933333	7	-0.618790607	0.905894259	-0.136237649	Hordeum vulgare L. vulgare	219185-A	202526-A	NA	NA
B_163	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.916667	7.033333	9	-0.40353913	-0.416504454	1.350102147	Hordeum vulgare L. vulgare	219185-B	202631-A	NA	NA
B_164	landrace	Irregular	M	M3	Amhara	DEBUB GONDAR	37.616667	11.816667	1	-0.487676864	0.16400082	0.28819227	Hordeum vulgare L. vulgare	219326-B	202676-A	NA	NA
B_165	landrace	Irregular	SH	SH3	Oromia	MISRAK HARERGE	41.483333	9.283333	1	-0.415528205	-0.497214611	0.362081203	Hordeum vulgare L. vulgare	219328-B	202717-A	NA	NA
B_166	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	36.633333	6.183333	1	-0.425827385	-0.41402733	1.138126267	Hordeum vulgare L. vulgare	219576-A	202850-B	NA	NA
B_167	landrace	Six-rowed	SM	SM4	Amhara	DEBUB WELLO	38.833333	10.833333	7	-0.529190905	0.79577892	-0.532396386	Hordeum vulgare L. vulgare	219576-D	204802-B	NA	NA
B_168	landrace	Six-rowed	SH	SH4	Oromia	BALE	39.55	7.05	4	1.483332097	1.08363682	-1.001798163	Hordeum vulgare L. vulgare	219578-A	208816-A	NA	NA
B_169	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.75	7.8	7	-0.538310859	1.04910144	-0.302689582	Hordeum vulgare L. vulgare	219578-B	208836-D	NA	NA
B_17	landrace	Six-rowed	SM	SM4	Tigray	DEBUBAWI	39.545833	12.886389	2	0.958157372	1.347358732	0.808302961	Hordeum vulgare L. vulgare	236819	17148	NA	NA
B_170	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.75	7.8	4	1.692478628	1.074271561	-0.745877231	Hordeum vulgare L. vulgare	219580-A	208836-E	NA	NA
B_171	landrace	Irregular	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hordeum vulgare L. vulgare	219581-A	208841-A	NA	NA
B_172	landrace	Two-rowed	SH	SH3	SNNP	SEMEN OMO	37.5	6.333333	11	3.06089952	0.968699086	1.086850272	Hordeum vulgare L. vulgare	219584-A	208841-B	NA	NA
B_173	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	37.5	6.333333	4	0.84702436	0.301916495	0.074798329	Hordeum vulgare L. vulgare	219611-A	208842-A	NA	NA
B_174	landrace	Six-rowed	SH	SH4	SNNP	SEMEN OMO	37.583333	6.25	9	-0.251991158	-0.10405213	0.751110654	Hordeum vulgare L. vulgare	219612-A	208845-A	NA	NA
B_175	landrace	Two-rowed	M	M4	Oromia	MIRAB SHEWA	38	9.05	5	-0.570784365	-1.217642366	2.221582149	Hordeum vulgare L. vulgare	219612-B	208903-A	NA	NA
B_176	landrace	Two-rowed	M	M3	Oromia	MIRAB SHEWA	37.3	9.016667	5	-0.520395306	-0.324855178	1.805871961	Hordeum vulgare L. vulgare	219616-A	208905-A	NA	NA
B_177	landrace	Irregular	M	M3	Oromia	MIRAB SHEWA	37.3	9.016667	7	-0.492066564	0.908857992	0.280107107	Hordeum vulgare L. vulgare	220743-A	208905-B	NA	NA
B_178	landrace	Six-rowed	SM	SM3	Amhara	SEMEN SHEWA	38.75	10.15	10	-0.528211675	-0.158449952	-0.684679532	Hordeum vulgare L. vulgare	220790-D	212504-A	NA	NA
B_179	landrace	Six-rowed	SH	SH6	Oromia	BALE	39.883333	6.916667	11	3.822163104	0.74504317	0.430316385	Hordeum vulgare L. vulgare	222969-A	212840-A	NA	NA
B_18	landrace	Two-rowed	M	M3	Amhara	AGEW AWI	37.872222	11.117778	5	-0.597847976	-1.213073112	2.526194878	Hordeum vulgare L. vulgare	236821	17249	NA	NA
B_180	landrace	Six-rowed	SH	SH6	Oromia	BALE	39.883333	6.916667	1	-0.419053415	-0.13286074	0.407109202	Hordeum vulgare L. vulgare	222969-C	212840-B	NA	NA
B_181	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.85	7.583333	7	-0.552336081	1.0547673	-0.294719076	Hordeum vulgare L. vulgare	223168-A	212947-A	NA	NA
B_182	landrace	Six-rowed	SH	SH3	SNNP	HADIYA	37.85	7.583333	3	-0.409837038	0.377637054	0.286561749	Hordeum vulgare L. vulgare	223168-C	212947-D	NA	NA
B_183	landrace	Six-rowed	SH	SH2	SNNP	SEMEN OMO	37.216667	5.916667	6	-0.443379445	0.350459725	-0.032878551	Hordeum vulgare L. vulgare	223174-A	212959-A	NA	NA
B_184	landrace	Six-rowed	SH	SH2	SNNP	SEMEN OMO	37.216667	5.916667	6	-0.413364338	0.5729173	-0.004599234	Hordeum vulgare L. vulgare	223182-A	212959-B	NA	NA
B_185	landrace	Two-rowed	SM	SM3	Amhara	SEMEN SHEWA	39.266667	8.8	1	0.020480697	-1.283571907	0.671912291	Hordeum vulgare L. vulgare	223182-B	213527-A	NA	NA
B_186	landrace	Two-rowed	H	H4	Oromia	ARSSI	39.383333	7.4	11	3.923625856	0.644802109	1.028778487	Hordeum vulgare L. vulgare	223926-A	213594-A	NA	NA
B_187	landrace	Two-rowed	M	M4	Amhara	DEBUB WELLO	39.45	10.866667	10	-0.608764885	-0.089070174	-1.203385197	Hordeum vulgare L. vulgare	223926-B	215217-A	NA	NA
B_188	landrace	Irregular	M	M3	Amhara	DEBUB WELLO	39.783333	11.066667	10	-0.627263589	-0.283278187	-0.772726214	Hordeum vulgare L. vulgare	225980-A	215228-A	NA	NA
B_189	landrace	Six-rowed	M	M3	Amhara	DEBUB WELLO	39.783333	11.066667	10	-0.543061205	-0.358315804	-0.753166103	Hordeum vulgare L. vulgare	225980-B	215228-B	NA	NA
B_19	landrace	Two-rowed	SH	SH3	Amhara	AGEW AWI	36.9525	10.928889	5	-0.527313656	-1.043259945	2.353382246	Hordeum vulgare L. vulgare	237015	17254	NA	NA
B_190	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.7	9.766667	4	1.47133096	1.045960425	-0.968939535	Hordeum vulgare L. vulgare	229993-A	215244-A	NA	NA
B_191	landrace	Irregular	SH	SH3	SNNP	GURAGE	38.383333	8.116667	9	-0.430363837	-0.100783761	0.594984499	Hordeum vulgare L. vulgare	230500-A	215432-A	NA	NA
B_192	landrace	Two-rowed	SH	SH3	SNNP	HADIYA	37.783333	7.466667	9	-0.051894073	-0.355822686	0.777223775	Hordeum vulgare L. vulgare	230612-B	215456-A	NA	NA
B_193	landrace	Two-rowed	SH	SH3	SNNP	HADIYA	37.866667	7.5	9	-0.227857843	-0.526824892	1.056901027	Hordeum vulgare L. vulgare	230616-A	215474-B	NA	NA
B_194	landrace	Two-rowed	M	M3	Amhara	DEBUB WELLO	39.783333	11.333333	1	-0.049153311	-1.427854953	0.343149643	Hordeum vulgare L. vulgare	230619-B	215696-A	NA	NA
B_195	landrace	Six-rowed	M	M3	Amhara	DEBUB WELLO	39.816667	11.333333	10	-0.572785846	-0.280790695	-0.975362769	Hordeum vulgare L. vulgare	230629-A	215698-B	NA	NA
B_196	landrace	Six-rowed	M	M3	Amhara	MISRAK GOJAM	37.683333	10.116667	7	-0.524257943	0.886478814	-0.291924557	Hordeum vulgare L. vulgare	230631-A	216008-A	NA	NA
B_197	landrace	Six-rowed	SH	SH3	Oromia	MISRAK HARERGE	41.683333	9.35	1	-0.455329672	-0.659343052	1.306393398	Hordeum vulgare L. vulgare	230631-C	216799-A	NA	NA
B_198	landrace	Irregular	SH	SH3	Amhara	AGEW AWI	37.216667	9.083333	7	-0.608649205	0.915055564	-0.13660202	Hordeum vulgare L. vulgare	230654-B	216954-A	NA	NA
B_199	landrace	Two-rowed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hordeum vulgare L. vulgare	230814-A	218969-A	NA	NA
B_2	landrace	Two-rowed	M	M3	Oromia	SEMEN SHEWA	38.633333	9.633333	5	-0.717754023	-0.36887603	1.813482699	Hordeum vulgare L. vulgare	220347	1826	NA	NA
B_20	landrace	Two-rowed	M	M3	Amhara	AGEW AWI	37.035833	10.840833	5	-0.6415307	-0.832306387	2.072625604	Hordeum vulgare L. vulgare	237021	17257	NA	NA
B_200	landrace	Two-rowed	M	M2	Oromia	ARSSI	39.85	8.55	1	0.009609442	-1.252084492	0.67805815	Hordeum vulgare L. vulgare	230814-B	219026-A	NA	NA
B_201	landrace	Two-rowed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hordeum vulgare L. vulgare	230815-A	219026-B	NA	NA
B_202	landrace	Six-rowed	SM	SM3	Oromia	ARSSI	39.666667	8.4	10	-0.574002724	-0.17431395	-0.857498794	Hordeum vulgare L. vulgare	221523-A	219055-A	NA	NA
B_203	landrace	Six-rowed	SH	SH3	Oromia	MISRAK HARERGE	41.333333	9.216667	10	-0.227734183	-0.347592355	0.389221766	Hordeum vulgare L. vulgare	221523-B	219178-A	NA	NA
B_204	landrace	Six-rowed	SH	SH3	Oromia	MISRAK HARERGE	41.333333	9.216667	10	-0.599925262	-0.288492454	-0.804988468	Hordeum vulgare L. vulgare	232365-A	219178-B	NA	NA
B_205	landrace	Six-rowed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hordeum vulgare L. vulgare	233040-A	219185-A	NA	NA
B_206	landrace	Irregular	M	M3	Oromia	MISRAK HARERGE	42.35	9.466667	10	-0.568065537	-0.163416097	-0.92259274	Hordeum vulgare L. vulgare	233040-B	219185-B	NA	NA
