ID,Acc_name,status,Country,LON,LAT
BTNC_311,Ashom tsalu,LR,Bhutan,92.03,27.01
BTNC_313,Rala Ashom,LR,Bhutan,91.41,27.11
BTNC_315,Woolingpa ashom,LR,Bhutan,91.35,27.03
BTNC_316,Samchelingpa as,LR,Bhutan,91.35,27.26
BTNC_458,Payalo makai,LR,Bhutan,90.09,26.96
BTNC_461,Gayza maap,LR,Bhutan,89.65,27.54
BTNC_565,Phenengla,LR,Bhutan,91.46,27.65
BTNC_115,Paheli makai,LR,Bhutan,90.6,27.01
BTNC_287,Sharpa ashom,LR,Bhutan,91.53,27.37
BTNC_17,Sheto makai,LR,Bhutan,90.14,26.95
BTNC_534,Gayza,LR,Bhutan,89.507,27.276
BTNC_31,Sheto makai,LR,Bhutan,88.97,26.94
BTNC_539,Paheli makai,LR,Bhutan,92.1,26.87
BTNC_542,Sarkhari ashom,LR,Bhutan,91.69,26.95
BTNC_545,Pahelo makai,LR,Bhutan,90.23,26.87
BTNC_551,Sheti makai,LR,Bhutan,90.34,26.88
BTNC_554,Sheti,LR,Bhutan,90.1,27.02
BTNC_555,Sheti makai,LR,Bhutan,90.23,26.87
BTNC_556,Sheti makai,LR,Bhutan,90.224,26.918
BTNC_561,Pahelo makai,LR,Bhutan,90.35,26.9
BTNC_562,Sheti makai,LR,Bhutan,90.233,26.862
BTNC_52,Paheli makai,LR,Bhutan,89.56,26.89
BTNC_568,Ashom,LR,Bhutan,90.31,26.86
BTNC_569,Sheti makai,LR,Bhutan,90.25,26.93
BTNC_573,Sheti makai,LR,Bhutan,90.31,26.86
BTNC_577,Sheti makai,LR,Bhutan,90.36,26.9
BTNC_582,Sarkari,LR,Bhutan,90.32,26.86
BTNC_833,Sheti makai,LR,Bhutan,90.3,26.88
BTNC_899,Sheti makai,LR,Bhutan,90.191,27.031
BTNC_940,Sanu sheti,LR,Bhutan,90.11444,26.9125
BTNC_941,Sheti makai,LR,Bhutan,89.252,27.017
BTNC_55,Ashom,LR,Bhutan,91.399,27.059
BTNC_943,Thulo paheli,LR,Bhutan,88.907,27.125
BTNC_944,Sheto makai,LR,Bhutan,88.914,27.073
BTNC_945,Sheti makai,LR,Bhutan,88.92,27.07
BTNC_946,Sheti makai,LR,Bhutan,89.26,27.09
BTNC_947,Sheti makai,LR,Bhutan,88.89,27.09
BTNC_948,Paheli makai,LR,Bhutan,88.84,27.13
BTNC_949,Sheti makai,LR,Bhutan,88.84,27.13
BTNC_950,Sheto makai,LR,Bhutan,89.187,26.857
BTNC_951,Sheti makai,LR,Bhutan,89.33389,26.85083
BTNC_952,Pahelo makai,LR,Bhutan,90.53,27.07
BTNC_1054,Sheti makai,LR,Bhutan,89.273,26.903
BTNC_1057,Sheti makai,LR,Bhutan,89.26306,26.91972
BTNC_1058,Pahelo makai,LR,Bhutan,89.147,27.016
BTNC_1059,Sheti makai,LR,Bhutan,89.201,27.034
BTNC_1060,Sathiya,LR,Bhutan,88.812,27.136
BTNC_1061,Rato makai,LR,Bhutan,89.19005,27.03125
BTNC_1062,Paheli sathia,LR,Bhutan,89.26306,26.91972
BTNC_57,Sheti makai,LR,Bhutan,88.89,27.01
BTNC_1063,Sheti makai,LR,Bhutan,88.87,27.13
BTNC_1064,Sheti makai,LR,Bhutan,89.416,26.915
BTNC_1065,Sathia makai,LR,Bhutan,89.237,27.003
BTNC_1066,Sheti  makai,LR,Bhutan,89.24028,27.02778
BTNC_1067,Gayza sechum,LR,Bhutan,89.6,26.9
BTNC_1068,Sheto makai,LR,Bhutan,89.252,27.017
BTNC_1069,Sheti makai,LR,Bhutan,89.06,27.03
BTNC_1228,Sheti makai,LR,Bhutan,89.147,27.016
BTNC_1304,Sheti makai,LR,Bhutan,90.32,26.9
BTNC_3,Chepti makai,LR,Bhutan,90.166,27.031
BTNC_1305,Paheli makai,LR,Bhutan,90.32,26.9
BTNC_1306,Thrulo sheti,LR,Bhutan,90.04,27.05
BTNC_1307,Sano sheti maka,LR,Bhutan,89.89,26.74
BTNC_1309,Kali makai,LR,Bhutan,90.02,27.06
BTNC_1310,Sanu paheli,LR,Bhutan,89.907,26.764
BTNC_1311,Shanu sheti,LR,Bhutan,90.041,27.058
BTNC_1312,Pahile makai,LR,Bhutan,90.32,26.9
BTNC_1313,Bakal puri,LR,Bhutan,89.961,26.996
