ID,Biological_Status,Genetic_cluster,LAT,LON
Vu015,Landrace,3,-12.5778,37.562361
Vu016,Landrace,3,-13.19185,37.50715
Vu023,Landrace,3,-23.85991585,35.33903715
Vu024,Landrace,3,-13.71222,39.673506
Vu025,Landrace,3,-16.93905834,33.54811249
Vu026,Landrace,3,-17.0575,34.041944
Vu035,Landrace,3,-24.70181385,33.5460663
Vu036,Landrace,3,-24.70181385,33.5460663
Vu054,Landrace,3,-23.32515225,35.3700543
Vu057,Landrace,3,-23.32515225,35.3700543
Vu058,Landrace,3,-23.32515225,35.3700543
Vu061,Landrace,3,-23.32515225,35.3700543
Vu094,Landrace,3,-19.40538005,33.2960312
Vu096,Landrace,3,-19.2958417,34.23217055
Vu097,Landrace,3,-19.2958417,34.23217055
Vu099,Landrace,3,-9.8333,33.883301
Vu100,Landrace,3,-9.95,33.799999
Vu102,Landrace,3,-9.7667,33.483299
Vu103,Landrace,3,-13.9667,33.833302
Vu105,Landrace,3,-14.25,35.083302
Vu107,Landrace,3,-15.3667,35.233299
Vu109,Landrace,3,-16.9167,35.1833
Vu111,Landrace,3,-14.9667,34.9333
Vu112,Landrace,3,-15.5833,35.166698
Vu113,Landrace,3,-16.516701,34.966702
Vu114,Landrace,3,-16.466667,34.9
Vu116,Landrace,3,-15.7833,35.616699
Vu117,Landrace,3,-15.4,35.4333
Vu118,Landrace,3,-15.05,35.400002
Vu119,Landrace,3,-14.4333,35.616699
Vu121,Landrace,3,-14.3167,35.116699
Vu122,Landrace,3,-12,33.633301
Vu123,Landrace,3,-11.85,33.866699
Vu125,Landrace,3,-11.2167,33.849998
Vu128,Landrace,3,-11.8167,33.783298
Vu129,Landrace,3,-16.5819,35.1248
Vu130,Landrace,3,-13.5,34
Vu131,Landrace,3,-16.5500002,35.1282252
Vu132,Landrace,3,-16.4982,35.2062
Vu133,Landrace,3,-12.0794,34.0573
Vu134,Landrace,3,-15.9667,35.2667
Vu135,Landrace,3,-15.8064,35.6507
Vu136,Landrace,3,-15.8064,35.6507
Vu137,Landrace,3,-13.3753,34.0036
Vu139,Landrace,3,-15.8064,35.6507
Vu141,Landrace,3,-16.9667,35.2167
Vu142,Landrace,3,-18.665695,35.529562
Vu143,Landrace,3,-18.665695,35.529562
Vu144,Landrace,3,-18.665695,35.529562
Vu145,Landrace,3,-18.665695,35.529562
Vu149,Landrace,3,-18.665695,35.529562
Vu150,Landrace,3,-18.665695,35.529562
Vu151,Landrace,3,-30.559482,22.937506
Vu152,Landrace,3,-30.559482,22.937506
Vu158,Landrace,3,-30.559482,22.937506
Vu159,Landrace,3,-30.559482,22.937506
Vu160,Landrace,3,-30.559482,22.937506
